1690986287579403776,8.70927,-0.32703,1.07017,0.99995,-0.00606,-0.00125,0.00727,
1690986287679580672,8.80063,-0.33056,1.07709,0.99981,-0.00626,0.00599,0.01740,
1690986287779360000,8.89099,-0.33269,1.08265,0.99937,-0.00554,0.01570,0.03142,
1690986288079276544,9.18848,-0.32405,1.07477,0.99959,-0.00049,0.00236,0.02836,
1690986288179359488,9.29374,-0.31647,1.08154,0.99984,0.00481,0.00063,0.01726,
1690986288279369216,9.39873,-0.31035,1.09177,0.99986,0.01464,-0.00327,0.00724,
1690986288479609344,9.60865,-0.30682,1.09237,0.99981,0.01163,0.00536,0.01441,
1690986288579318784,9.71673,-0.30752,1.08302,0.99925,0.01017,0.00203,0.03718,
1690986288679667968,9.82570,-0.30750,1.07992,0.99820,0.01178,0.00171,0.05885,
1690986288779866368,9.92916,-0.30652,1.08599,0.99694,0.00912,0.01349,0.07643,
1690986288879357696,10.03322,-0.30443,1.09367,0.99510,0.00289,0.02742,0.09493,
1690986288979346688,10.13894,-0.30109,1.09560,0.99381,-0.00019,0.03166,0.10645,
1690986289079183360,10.24815,-0.29582,1.09270,0.99378,0.00100,0.01633,0.11019,
1690986289179160064,10.35943,-0.28870,1.09451,0.99414,0.00001,0.00433,0.10806,
1690986289379400960,10.57568,-0.28237,1.12253,0.99501,0.01054,0.00718,0.09897,
1690986289580507904,10.78981,-0.28976,1.13333,0.99531,0.01585,-0.00603,0.09524,
1690986289679636224,10.89760,-0.29501,1.13243,0.99365,0.00982,-0.01368,0.11124,
1690986289779200512,11.00381,-0.29934,1.13962,0.99259,0.00237,-0.00548,0.12138,
1690986289979121664,11.21052,-0.30720,1.16013,0.99096,-0.00321,0.00958,0.13379,
1690986290179587072,11.43223,-0.30336,1.15201,0.99279,-0.00630,-0.00673,0.11947,
1690986290279570944,11.54746,-0.29930,1.15517,0.99498,-0.00921,-0.01609,0.09830,
1690986290379826176,11.66150,-0.29767,1.16768,0.99657,-0.00765,-0.01777,0.08043,
1690986290479339520,11.77304,-0.29824,1.18118,0.99784,-0.00123,-0.01262,0.06442,
1690986290579363840,11.88410,-0.29867,1.18532,0.99868,0.00102,-0.01888,0.04778,
1690986290679806208,11.99920,-0.29948,1.17922,0.99849,-0.00953,-0.03555,0.04084,
1690986290879408384,12.23087,-0.30015,1.17816,0.99878,-0.02186,-0.02349,0.03741,
1690986290979134208,12.34111,-0.29742,1.18625,0.99896,-0.01608,-0.00752,0.04211,
1690986291079275520,12.45027,-0.29412,1.18840,0.99899,-0.01304,0.00254,0.04281,
